sample_id,day_id,split,scenario,seed,input_start_minute,input_end_minute_exclusive,target_start_minute,target_end_minute_exclusive,horizon_minutes
train-morning-01-m068-h2,train-morning-01,train,morning,10001,58,68,68,70,2
train-morning-01-m069-h2,train-morning-01,train,morning,10001,59,69,69,71,2
train-morning-01-m070-h2,train-morning-01,train,morning,10001,60,70,70,72,2
train-morning-01-m071-h2,train-morning-01,train,morning,10001,61,71,71,73,2
train-morning-01-m072-h2,train-morning-01,train,morning,10001,62,72,72,74,2
train-morning-01-m073-h2,train-morning-01,train,morning,10001,63,73,73,75,2
train-morning-02-m010-h2,train-morning-02,train,morning,10002,0,10,10,12,2
train-morning-02-m011-h2,train-morning-02,train,morning,10002,1,11,11,13,2
train-morning-02-m012-h2,train-morning-02,train,morning,10002,2,12,12,14,2
train-morning-02-m013-h2,train-morning-02,train,morning,10002,3,13,13,15,2
train-morning-02-m014-h2,train-morning-02,train,morning,10002,4,14,14,16,2
train-morning-02-m015-h2,train-morning-02,train,morning,10002,5,15,15,17,2
train-morning-02-m016-h2,train-morning-02,train,morning,10002,6,16,16,18,2
train-morning-02-m017-h2,train-morning-02,train,morning,10002,7,17,17,19,2
train-morning-02-m018-h2,train-morning-02,train,morning,10002,8,18,18,20,2
train-morning-02-m019-h2,train-morning-02,train,morning,10002,9,19,19,21,2
train-morning-02-m020-h2,train-morning-02,train,morning,10002,10,20,20,22,2
train-morning-02-m021-h2,train-morning-02,train,morning,10002,11,21,21,23,2
train-morning-02-m022-h2,train-morning-02,train,morning,10002,12,22,22,24,2
train-morning-02-m023-h2,train-morning-02,train,morning,10002,13,23,23,25,2
train-morning-02-m024-h2,train-morning-02,train,morning,10002,14,24,24,26,2
train-morning-02-m025-h2,train-morning-02,train,morning,10002,15,25,25,27,2
train-morning-02-m026-h2,train-morning-02,train,morning,10002,16,26,26,28,2
train-morning-02-m027-h2,train-morning-02,train,morning,10002,17,27,27,29,2
train-morning-02-m028-h2,train-morning-02,train,morning,10002,18,28,28,30,2
train-morning-02-m029-h2,train-morning-02,train,morning,10002,19,29,29,31,2
train-morning-02-m030-h2,train-morning-02,train,morning,10002,20,30,30,32,2
train-morning-02-m031-h2,train-morning-02,train,morning,10002,21,31,31,33,2
train-morning-02-m032-h2,train-morning-02,train,morning,10002,22,32,32,34,2
train-morning-02-m033-h2,train-morning-02,train,morning,10002,23,33,33,35,2
train-morning-02-m034-h2,train-morning-02,train,morning,10002,24,34,34,36,2
train-morning-02-m035-h2,train-morning-02,train,morning,10002,25,35,35,37,2
train-morning-02-m036-h2,train-morning-02,train,morning,10002,26,36,36,38,2
train-morning-02-m037-h2,train-morning-02,train,morning,10002,27,37,37,39,2
train-morning-02-m038-h2,train-morning-02,train,morning,10002,28,38,38,40,2
train-morning-02-m039-h2,train-morning-02,train,morning,10002,29,39,39,41,2
train-morning-02-m040-h2,train-morning-02,train,morning,10002,30,40,40,42,2
train-morning-02-m041-h2,train-morning-02,train,morning,10002,31,41,41,43,2
train-morning-02-m042-h2,train-morning-02,train,morning,10002,32,42,42,44,2
train-morning-02-m043-h2,train-morning-02,train,morning,10002,33,43,43,45,2
train-morning-02-m044-h2,train-morning-02,train,morning,10002,34,44,44,46,2
train-morning-02-m045-h2,train-morning-02,train,morning,10002,35,45,45,47,2
train-morning-02-m046-h2,train-morning-02,train,morning,10002,36,46,46,48,2
train-morning-02-m047-h2,train-morning-02,train,morning,10002,37,47,47,49,2
train-morning-02-m048-h2,train-morning-02,train,morning,10002,38,48,48,50,2
train-morning-02-m049-h2,train-morning-02,train,morning,10002,39,49,49,51,2
train-morning-02-m050-h2,train-morning-02,train,morning,10002,40,50,50,52,2
train-morning-02-m051-h2,train-morning-02,train,morning,10002,41,51,51,53,2
train-morning-02-m052-h2,train-morning-02,train,morning,10002,42,52,52,54,2
train-morning-02-m053-h2,train-morning-02,train,morning,10002,43,53,53,55,2
train-morning-02-m054-h2,train-morning-02,train,morning,10002,44,54,54,56,2
train-morning-02-m055-h2,train-morning-02,train,morning,10002,45,55,55,57,2
train-morning-02-m056-h2,train-morning-02,train,morning,10002,46,56,56,58,2
train-morning-02-m057-h2,train-morning-02,train,morning,10002,47,57,57,59,2
train-morning-02-m058-h2,train-morning-02,train,morning,10002,48,58,58,60,2
train-morning-02-m059-h2,train-morning-02,train,morning,10002,49,59,59,61,2
train-morning-02-m060-h2,train-morning-02,train,morning,10002,50,60,60,62,2
train-morning-02-m061-h2,train-morning-02,train,morning,10002,51,61,61,63,2
train-morning-02-m062-h2,train-morning-02,train,morning,10002,52,62,62,64,2
train-morning-02-m063-h2,train-morning-02,train,morning,10002,53,63,63,65,2
train-morning-02-m064-h2,train-morning-02,train,morning,10002,54,64,64,66,2
train-morning-02-m065-h2,train-morning-02,train,morning,10002,55,65,65,67,2
train-morning-02-m066-h2,train-morning-02,train,morning,10002,56,66,66,68,2
train-morning-02-m067-h2,train-morning-02,train,morning,10002,57,67,67,69,2
train-morning-02-m068-h2,train-morning-02,train,morning,10002,58,68,68,70,2
train-morning-02-m069-h2,train-morning-02,train,morning,10002,59,69,69,71,2
train-morning-02-m070-h2,train-morning-02,train,morning,10002,60,70,70,72,2
train-morning-02-m071-h2,train-morning-02,train,morning,10002,61,71,71,73,2
train-morning-02-m072-h2,train-morning-02,train,morning,10002,62,72,72,74,2
train-morning-02-m073-h2,train-morning-02,train,morning,10002,63,73,73,75,2
train-morning-03-m010-h2,train-morning-03,train,morning,10003,0,10,10,12,2
train-morning-03-m011-h2,train-morning-03,train,morning,10003,1,11,11,13,2
train-morning-03-m012-h2,train-morning-03,train,morning,10003,2,12,12,14,2
train-morning-03-m013-h2,train-morning-03,train,morning,10003,3,13,13,15,2
train-morning-03-m014-h2,train-morning-03,train,morning,10003,4,14,14,16,2
train-morning-03-m015-h2,train-morning-03,train,morning,10003,5,15,15,17,2
train-morning-03-m016-h2,train-morning-03,train,morning,10003,6,16,16,18,2
train-morning-03-m017-h2,train-morning-03,train,morning,10003,7,17,17,19,2
train-morning-03-m018-h2,train-morning-03,train,morning,10003,8,18,18,20,2
train-morning-03-m019-h2,train-morning-03,train,morning,10003,9,19,19,21,2
train-morning-03-m020-h2,train-morning-03,train,morning,10003,10,20,20,22,2
train-morning-03-m021-h2,train-morning-03,train,morning,10003,11,21,21,23,2
train-morning-03-m022-h2,train-morning-03,train,morning,10003,12,22,22,24,2
train-morning-03-m023-h2,train-morning-03,train,morning,10003,13,23,23,25,2
train-morning-03-m024-h2,train-morning-03,train,morning,10003,14,24,24,26,2
train-morning-03-m025-h2,train-morning-03,train,morning,10003,15,25,25,27,2
train-morning-03-m026-h2,train-morning-03,train,morning,10003,16,26,26,28,2
train-morning-03-m027-h2,train-morning-03,train,morning,10003,17,27,27,29,2
train-morning-03-m028-h2,train-morning-03,train,morning,10003,18,28,28,30,2
train-morning-03-m029-h2,train-morning-03,train,morning,10003,19,29,29,31,2
train-morning-03-m030-h2,train-morning-03,train,morning,10003,20,30,30,32,2
train-morning-03-m031-h2,train-morning-03,train,morning,10003,21,31,31,33,2
train-morning-03-m032-h2,train-morning-03,train,morning,10003,22,32,32,34,2
train-morning-03-m033-h2,train-morning-03,train,morning,10003,23,33,33,35,2
train-morning-03-m034-h2,train-morning-03,train,morning,10003,24,34,34,36,2
train-morning-03-m035-h2,train-morning-03,train,morning,10003,25,35,35,37,2
train-morning-03-m036-h2,train-morning-03,train,morning,10003,26,36,36,38,2
train-morning-03-m037-h2,train-morning-03,train,morning,10003,27,37,37,39,2
train-morning-03-m038-h2,train-morning-03,train,morning,10003,28,38,38,40,2
train-morning-03-m039-h2,train-morning-03,train,morning,10003,29,39,39,41,2
train-morning-03-m040-h2,train-morning-03,train,morning,10003,30,40,40,42,2
train-morning-03-m041-h2,train-morning-03,train,morning,10003,31,41,41,43,2
train-morning-03-m042-h2,train-morning-03,train,morning,10003,32,42,42,44,2
train-morning-03-m043-h2,train-morning-03,train,morning,10003,33,43,43,45,2
train-morning-03-m044-h2,train-morning-03,train,morning,10003,34,44,44,46,2
train-morning-03-m045-h2,train-morning-03,train,morning,10003,35,45,45,47,2
train-morning-03-m046-h2,train-morning-03,train,morning,10003,36,46,46,48,2
train-morning-03-m047-h2,train-morning-03,train,morning,10003,37,47,47,49,2
train-morning-03-m048-h2,train-morning-03,train,morning,10003,38,48,48,50,2
train-morning-03-m049-h2,train-morning-03,train,morning,10003,39,49,49,51,2
train-morning-03-m050-h2,train-morning-03,train,morning,10003,40,50,50,52,2
train-morning-03-m051-h2,train-morning-03,train,morning,10003,41,51,51,53,2
train-morning-03-m052-h2,train-morning-03,train,morning,10003,42,52,52,54,2
train-morning-03-m053-h2,train-morning-03,train,morning,10003,43,53,53,55,2
train-morning-03-m054-h2,train-morning-03,train,morning,10003,44,54,54,56,2
train-morning-03-m055-h2,train-morning-03,train,morning,10003,45,55,55,57,2
train-morning-03-m056-h2,train-morning-03,train,morning,10003,46,56,56,58,2
train-morning-03-m057-h2,train-morning-03,train,morning,10003,47,57,57,59,2
train-morning-03-m058-h2,train-morning-03,train,morning,10003,48,58,58,60,2
train-morning-03-m059-h2,train-morning-03,train,morning,10003,49,59,59,61,2
train-morning-03-m060-h2,train-morning-03,train,morning,10003,50,60,60,62,2
train-morning-03-m061-h2,train-morning-03,train,morning,10003,51,61,61,63,2
train-morning-03-m062-h2,train-morning-03,train,morning,10003,52,62,62,64,2
train-morning-03-m063-h2,train-morning-03,train,morning,10003,53,63,63,65,2
train-morning-03-m064-h2,train-morning-03,train,morning,10003,54,64,64,66,2
train-morning-03-m065-h2,train-morning-03,train,morning,10003,55,65,65,67,2
train-morning-03-m066-h2,train-morning-03,train,morning,10003,56,66,66,68,2
train-morning-03-m067-h2,train-morning-03,train,morning,10003,57,67,67,69,2
train-morning-03-m068-h2,train-morning-03,train,morning,10003,58,68,68,70,2
train-morning-03-m069-h2,train-morning-03,train,morning,10003,59,69,69,71,2
train-morning-03-m070-h2,train-morning-03,train,morning,10003,60,70,70,72,2
train-morning-03-m071-h2,train-morning-03,train,morning,10003,61,71,71,73,2
train-morning-03-m072-h2,train-morning-03,train,morning,10003,62,72,72,74,2
train-morning-03-m073-h2,train-morning-03,train,morning,10003,63,73,73,75,2
train-morning-04-m010-h2,train-morning-04,train,morning,10004,0,10,10,12,2
train-morning-04-m011-h2,train-morning-04,train,morning,10004,1,11,11,13,2
train-morning-04-m012-h2,train-morning-04,train,morning,10004,2,12,12,14,2
train-morning-04-m013-h2,train-morning-04,train,morning,10004,3,13,13,15,2
train-morning-04-m014-h2,train-morning-04,train,morning,10004,4,14,14,16,2
train-morning-04-m015-h2,train-morning-04,train,morning,10004,5,15,15,17,2
train-morning-04-m016-h2,train-morning-04,train,morning,10004,6,16,16,18,2
train-morning-04-m017-h2,train-morning-04,train,morning,10004,7,17,17,19,2
train-morning-04-m018-h2,train-morning-04,train,morning,10004,8,18,18,20,2
train-morning-04-m019-h2,train-morning-04,train,morning,10004,9,19,19,21,2
train-morning-04-m020-h2,train-morning-04,train,morning,10004,10,20,20,22,2
train-morning-04-m021-h2,train-morning-04,train,morning,10004,11,21,21,23,2
train-morning-04-m022-h2,train-morning-04,train,morning,10004,12,22,22,24,2
train-morning-04-m023-h2,train-morning-04,train,morning,10004,13,23,23,25,2
train-morning-04-m024-h2,train-morning-04,train,morning,10004,14,24,24,26,2
train-morning-04-m025-h2,train-morning-04,train,morning,10004,15,25,25,27,2
train-morning-04-m026-h2,train-morning-04,train,morning,10004,16,26,26,28,2
train-morning-04-m027-h2,train-morning-04,train,morning,10004,17,27,27,29,2
train-morning-04-m028-h2,train-morning-04,train,morning,10004,18,28,28,30,2
train-morning-04-m029-h2,train-morning-04,train,morning,10004,19,29,29,31,2
train-morning-04-m030-h2,train-morning-04,train,morning,10004,20,30,30,32,2
train-morning-04-m031-h2,train-morning-04,train,morning,10004,21,31,31,33,2
train-morning-04-m032-h2,train-morning-04,train,morning,10004,22,32,32,34,2
train-morning-04-m033-h2,train-morning-04,train,morning,10004,23,33,33,35,2
train-morning-04-m034-h2,train-morning-04,train,morning,10004,24,34,34,36,2
train-morning-04-m035-h2,train-morning-04,train,morning,10004,25,35,35,37,2
train-morning-04-m036-h2,train-morning-04,train,morning,10004,26,36,36,38,2
train-morning-04-m037-h2,train-morning-04,train,morning,10004,27,37,37,39,2
train-morning-04-m038-h2,train-morning-04,train,morning,10004,28,38,38,40,2
train-morning-04-m039-h2,train-morning-04,train,morning,10004,29,39,39,41,2
train-morning-04-m040-h2,train-morning-04,train,morning,10004,30,40,40,42,2
train-morning-04-m041-h2,train-morning-04,train,morning,10004,31,41,41,43,2
train-morning-04-m042-h2,train-morning-04,train,morning,10004,32,42,42,44,2
train-morning-04-m043-h2,train-morning-04,train,morning,10004,33,43,43,45,2
train-morning-04-m044-h2,train-morning-04,train,morning,10004,34,44,44,46,2
train-morning-04-m045-h2,train-morning-04,train,morning,10004,35,45,45,47,2
train-morning-04-m046-h2,train-morning-04,train,morning,10004,36,46,46,48,2
train-morning-04-m047-h2,train-morning-04,train,morning,10004,37,47,47,49,2
train-morning-04-m048-h2,train-morning-04,train,morning,10004,38,48,48,50,2
train-morning-04-m049-h2,train-morning-04,train,morning,10004,39,49,49,51,2
train-morning-04-m050-h2,train-morning-04,train,morning,10004,40,50,50,52,2
train-morning-04-m051-h2,train-morning-04,train,morning,10004,41,51,51,53,2
train-morning-04-m052-h2,train-morning-04,train,morning,10004,42,52,52,54,2
train-morning-04-m053-h2,train-morning-04,train,morning,10004,43,53,53,55,2
train-morning-04-m054-h2,train-morning-04,train,morning,10004,44,54,54,56,2
train-morning-04-m055-h2,train-morning-04,train,morning,10004,45,55,55,57,2
train-morning-04-m056-h2,train-morning-04,train,morning,10004,46,56,56,58,2
train-morning-04-m057-h2,train-morning-04,train,morning,10004,47,57,57,59,2
train-morning-04-m058-h2,train-morning-04,train,morning,10004,48,58,58,60,2
train-morning-04-m059-h2,train-morning-04,train,morning,10004,49,59,59,61,2
train-morning-04-m060-h2,train-morning-04,train,morning,10004,50,60,60,62,2
train-morning-04-m061-h2,train-morning-04,train,morning,10004,51,61,61,63,2
train-morning-04-m062-h2,train-morning-04,train,morning,10004,52,62,62,64,2
train-morning-04-m063-h2,train-morning-04,train,morning,10004,53,63,63,65,2
train-morning-04-m064-h2,train-morning-04,train,morning,10004,54,64,64,66,2
train-morning-04-m065-h2,train-morning-04,train,morning,10004,55,65,65,67,2
train-morning-04-m066-h2,train-morning-04,train,morning,10004,56,66,66,68,2
train-morning-04-m067-h2,train-morning-04,train,morning,10004,57,67,67,69,2
train-morning-04-m068-h2,train-morning-04,train,morning,10004,58,68,68,70,2
train-morning-04-m069-h2,train-morning-04,train,morning,10004,59,69,69,71,2
train-morning-04-m070-h2,train-morning-04,train,morning,10004,60,70,70,72,2
train-morning-04-m071-h2,train-morning-04,train,morning,10004,61,71,71,73,2
train-morning-04-m072-h2,train-morning-04,train,morning,10004,62,72,72,74,2
train-morning-04-m073-h2,train-morning-04,train,morning,10004,63,73,73,75,2
train-morning-05-m010-h2,train-morning-05,train,morning,10005,0,10,10,12,2
train-morning-05-m011-h2,train-morning-05,train,morning,10005,1,11,11,13,2
train-morning-05-m012-h2,train-morning-05,train,morning,10005,2,12,12,14,2
train-morning-05-m013-h2,train-morning-05,train,morning,10005,3,13,13,15,2
train-morning-05-m014-h2,train-morning-05,train,morning,10005,4,14,14,16,2
train-morning-05-m015-h2,train-morning-05,train,morning,10005,5,15,15,17,2
train-morning-05-m016-h2,train-morning-05,train,morning,10005,6,16,16,18,2
train-morning-05-m017-h2,train-morning-05,train,morning,10005,7,17,17,19,2
train-morning-05-m018-h2,train-morning-05,train,morning,10005,8,18,18,20,2
train-morning-05-m019-h2,train-morning-05,train,morning,10005,9,19,19,21,2
train-morning-05-m020-h2,train-morning-05,train,morning,10005,10,20,20,22,2
train-morning-05-m021-h2,train-morning-05,train,morning,10005,11,21,21,23,2
train-morning-05-m022-h2,train-morning-05,train,morning,10005,12,22,22,24,2
train-morning-05-m023-h2,train-morning-05,train,morning,10005,13,23,23,25,2
train-morning-05-m024-h2,train-morning-05,train,morning,10005,14,24,24,26,2
train-morning-05-m025-h2,train-morning-05,train,morning,10005,15,25,25,27,2
train-morning-05-m026-h2,train-morning-05,train,morning,10005,16,26,26,28,2
train-morning-05-m027-h2,train-morning-05,train,morning,10005,17,27,27,29,2
train-morning-05-m028-h2,train-morning-05,train,morning,10005,18,28,28,30,2
train-morning-05-m029-h2,train-morning-05,train,morning,10005,19,29,29,31,2
train-morning-05-m030-h2,train-morning-05,train,morning,10005,20,30,30,32,2
train-morning-05-m031-h2,train-morning-05,train,morning,10005,21,31,31,33,2
train-morning-05-m032-h2,train-morning-05,train,morning,10005,22,32,32,34,2
train-morning-05-m033-h2,train-morning-05,train,morning,10005,23,33,33,35,2
train-morning-05-m034-h2,train-morning-05,train,morning,10005,24,34,34,36,2
train-morning-05-m035-h2,train-morning-05,train,morning,10005,25,35,35,37,2
train-morning-05-m036-h2,train-morning-05,train,morning,10005,26,36,36,38,2
train-morning-05-m037-h2,train-morning-05,train,morning,10005,27,37,37,39,2
train-morning-05-m038-h2,train-morning-05,train,morning,10005,28,38,38,40,2
train-morning-05-m039-h2,train-morning-05,train,morning,10005,29,39,39,41,2
train-morning-05-m040-h2,train-morning-05,train,morning,10005,30,40,40,42,2
train-morning-05-m041-h2,train-morning-05,train,morning,10005,31,41,41,43,2
train-morning-05-m042-h2,train-morning-05,train,morning,10005,32,42,42,44,2
train-morning-05-m043-h2,train-morning-05,train,morning,10005,33,43,43,45,2
train-morning-05-m044-h2,train-morning-05,train,morning,10005,34,44,44,46,2
train-morning-05-m045-h2,train-morning-05,train,morning,10005,35,45,45,47,2
train-morning-05-m046-h2,train-morning-05,train,morning,10005,36,46,46,48,2
train-morning-05-m047-h2,train-morning-05,train,morning,10005,37,47,47,49,2
train-morning-05-m048-h2,train-morning-05,train,morning,10005,38,48,48,50,2
train-morning-05-m049-h2,train-morning-05,train,morning,10005,39,49,49,51,2
train-morning-05-m050-h2,train-morning-05,train,morning,10005,40,50,50,52,2
train-morning-05-m051-h2,train-morning-05,train,morning,10005,41,51,51,53,2
train-morning-05-m052-h2,train-morning-05,train,morning,10005,42,52,52,54,2
train-morning-05-m053-h2,train-morning-05,train,morning,10005,43,53,53,55,2
train-morning-05-m054-h2,train-morning-05,train,morning,10005,44,54,54,56,2
